Id_Encuesta,eval_gob_1,eval_act_pol_1_p,eval_act_pol_1_fh,eval_act_pol_1_dv,eval_act_pol_1_co,eval_act_pol_1_ca,eval_act_pol_1_ae,eval_act_pol_1_er,eval_act_pol_1_gt,eval_act_pol_17,eval_act_pol_18,pp_congreso_61_b
242,2,4.0,,,,4.0,,,,,,
243,1,4.0,,,,6.0,,,,,,
246,1,3.0,,,,4.0,,,,,,
247,1,1.0,,,,4.0,,,,,,
248,1,4.0,,,,3.0,,,,,,
249,2,4.0,,,,2.0,,,,,,
251,2,3.0,,,,3.0,,,,,,
253,1,3.0,,,,4.0,,,,,,
254,2,4.0,,,,3.0,,,,,,
257,3,3.0,,,,4.0,,,,,,
259,3,9.0,,,,9.0,,,,,,
260,1,3.0,,,,4.0,,,,,,
262,1,2.0,,,,4.0,,,,,,
263,2,3.0,,,,3.0,,,,,,
264,1,3.0,,,,4.0,,,,,,
265,2,3.0,,,,2.0,,,,,,
266,2,4.0,,,,2.0,,,,,,
267,1,2.0,,,,4.0,,,,,,
269,1,4.0,,,,4.0,,,,,,
272,8,4.0,,,,4.0,,,,,,
273,3,4.0,,,,3.0,,,,,,
274,1,2.0,,,,4.0,,,,,,
275,2,4.0,,,,2.0,,,,,,
276,2,2.0,,,,2.0,,,,,,
277,1,2.0,,,,5.0,,,,,,
283,3,3.0,,,,3.0,,,,,,
284,1,4.0,,,,4.0,,,,,,
287,1,1.0,,,,4.0,,,,,,
293,1,2.0,,,,4.0,,,,,,
296,2,4.0,,,,3.0,,,,,,
297,1,2.0,,,,4.0,,,,,,
299,1,4.0,,,,5.0,,,,,,
301,2,1.0,,,,5.0,,,,,,
303,1,2.0,,,,4.0,,,,,,
305,1,3.0,,,,4.0,,,,,,
307,1,2.0,,,,5.0,,,,,,
308,1,2.0,,,,5.0,,,,,,
309,3,5.0,,,,4.0,,,,,,
310,2,2.0,,,,4.0,,,,,,
312,3,2.0,,,,4.0,,,,,,
313,1,3.0,,,,5.0,,,,,,
315,1,3.0,,,,5.0,,,,,,
316,1,2.0,,,,5.0,,,,,,
317,2,1.0,,,,3.0,,,,,,
318,1,3.0,,,,4.0,,,,,,
319,1,2.0,,,,4.0,,,,,,
320,2,4.0,,,,1.0,,,,,,
322,2,3.0,,,,3.0,,,,,,
323,2,4.0,,,,4.0,,,,,,
324,1,2.0,,,,4.0,,,,,,
325,1,3.0,,,,4.0,,,,,,
326,1,3.0,,,,4.0,,,,,,
327,1,1.0,,,,5.0,,,,,,
328,1,3.0,,,,4.0,,,,,,
329,1,3.0,,,,3.0,,,,,,
330,3,3.0,,,,4.0,,,,,,
331,1,3.0,,,,5.0,,,,,,
332,1,3.0,,,,4.0,,,,,,
333,1,3.0,,,,5.0,,,,,,
334,1,4.0,,,,4.0,,,,,,
335,1,2.0,,,,5.0,,,,,,
336,1,3.0,,,,3.0,,,,,,
337,1,3.0,,,,4.0,,,,,,
338,1,3.0,,,,4.0,,,,,,
339,2,4.0,,,,2.0,,,,,,
341,2,2.0,,,,4.0,,,,,,
342,1,2.0,,,,4.0,,,,,,
343,2,4.0,,,,3.0,,,,,,
344,2,2.0,,,,4.0,,,,,,
345,1,3.0,,,,4.0,,,,,,
346,3,3.0,,,,2.0,,,,,,
347,1,3.0,,,,5.0,,,,,,
349,1,2.0,,,,4.0,,,,,,
350,1,9.0,,,,4.0,,,,,,
351,1,3.0,,,,5.0,,,,,,
352,1,3.0,,,,5.0,,,,,,
355,1,3.0,,,,4.0,,,,,,
356,1,3.0,,,,3.0,,,,,,
357,1,4.0,,,,3.0,,,,,,
358,2,4.0,,,,3.0,,,,,,
359,2,4.0,,,,3.0,,,,,,
360,1,3.0,,,,5.0,,,,,,
361,3,2.0,,,,3.0,,,,,,
363,2,4.0,,,,2.0,,,,,,
364,2,4.0,,,,2.0,,,,,,
366,2,4.0,,,,2.0,,,,,,
367,1,2.0,,,,5.0,,,,,,
369,3,4.0,,,,2.0,,,,,,
370,2,3.0,,,,3.0,,,,,,
372,1,2.0,,,,4.0,,,,,,
374,1,4.0,,,,4.0,,,,,,
375,2,5.0,,,,1.0,,,,,,
376,1,4.0,,,,3.0,,,,,,
378,2,9.0,,,,9.0,,,,,,
379,1,3.0,,,,4.0,,,,,,
380,1,4.0,,,,4.0,,,,,,
381,1,4.0,,,,4.0,,,,,,
382,1,4.0,,,,4.0,,,,,,
385,1,1.0,,,,4.0,,,,,,
386,3,3.0,,,,3.0,,,,,,
387,1,2.0,,,,4.0,,,,,,
388,1,2.0,,,,4.0,,,,,,
389,1,4.0,,,,4.0,,,,,,
390,1,4.0,,,,5.0,,,,,,
391,2,5.0,,,,1.0,,,,,,
392,3,3.0,,,,3.0,,,,,,
393,3,3.0,,,,3.0,,,,,,
394,1,4.0,,,,4.0,,,,,,
395,3,4.0,,,,4.0,,,,,,
396,1,8.0,,,,4.0,,,,,,
399,1,4.0,,,,5.0,,,,,,
400,3,4.0,,,,3.0,,,,,,
401,1,5.0,,,,5.0,,,,,,
402,3,4.0,,,,4.0,,,,,,
403,1,2.0,,,,4.0,,,,,,
405,1,4.0,,,,4.0,,,,,,
406,2,4.0,,,,3.0,,,,,,
409,1,9.0,,,,9.0,,,,,,
410,1,9.0,,,,9.0,,,,,,
411,1,3.0,,,,3.0,,,,,,
412,3,4.0,,,,3.0,,,,,,
414,2,9.0,,,,9.0,,,,,,
415,1,2.0,,,,4.0,,,,,,
416,1,3.0,,,,4.0,,,,,,
417,1,3.0,,,,4.0,,,,,,
418,1,3.0,,,,3.0,,,,,,
419,1,3.0,,,,4.0,,,,,,
420,3,8.0,,,,8.0,,,,,,
421,1,1.0,,,,5.0,,,,,,
422,3,4.0,,,,4.0,,,,,,
423,2,2.0,,,,6.0,,,,,,
424,1,2.0,,,,5.0,,,,,,
425,1,2.0,,,,4.0,,,,,,
426,1,1.0,,,,5.0,,,,,,
427,1,4.0,,,,4.0,,,,,,
428,1,4.0,,,,4.0,,,,,,
429,2,4.0,,,,2.0,,,,,,
430,2,4.0,,,,2.0,,,,,,
431,3,4.0,,,,4.0,,,,,,
432,1,2.0,,,,5.0,,,,,,
434,1,3.0,,,,4.0,,,,,,
435,1,4.0,,,,4.0,,,,,,
436,2,4.0,,,,4.0,,,,,,
437,1,3.0,,,,4.0,,,,,,
438,1,9.0,,,,9.0,,,,,,
439,1,4.0,,,,4.0,,,,,,
440,1,4.0,,,,5.0,,,,,,
441,1,2.0,,,,5.0,,,,,,
442,1,2.0,,,,4.0,,,,,,
445,2,3.0,,,,3.0,,,,,,
446,1,3.0,,,,3.0,,,,,,
447,3,9.0,,,,9.0,,,,,,
448,1,4.0,,,,2.0,,,,,,
449,1,2.0,,,,3.0,,,,,,
450,1,6.0,,,,4.0,,,,,,
451,1,3.0,,,,3.0,,,,,,
452,1,2.0,,,,4.0,,,,,,
454,1,9.0,,,,9.0,,,,,,
456,9,4.0,,,,4.0,,,,,,
457,8,2.0,,,,4.0,,,,,,
458,1,8.0,,,,4.0,,,,,,
459,1,3.0,,,,2.0,,,,,,
460,1,3.0,,,,4.0,,,,,,
461,1,3.0,,,,5.0,,,,,,
462,2,3.0,,,,2.0,,,,,,
463,1,3.0,,,,4.0,,,,,,
464,3,4.0,,,,3.0,,,,,,
467,1,3.0,,,,4.0,,,,,,
471,3,3.0,,,,3.0,,,,,,
472,3,2.0,,,,3.0,,,,,,
473,2,6.0,,,,6.0,,,,,,
474,2,4.0,,,,2.0,,,,,,
475,1,3.0,,,,4.0,,,,,,
476,3,4.0,,,,4.0,,,,,,
477,9,4.0,,,,4.0,,,,,,
478,2,4.0,,,,4.0,,,,,,
479,3,3.0,,,,3.0,,,,,,
480,2,4.0,,,,3.0,,,,,,
481,3,4.0,,,,4.0,,,,,,
482,8,3.0,,,,3.0,,,,,,
483,1,1.0,,,,5.0,,,,,,
484,1,6.0,,,,3.0,,,,,,
485,3,3.0,,,,3.0,,,,,,
486,1,4.0,,,,4.0,,,,,,
490,2,4.0,,,,3.0,,,,,,
493,1,4.0,,,,5.0,,,,,,
494,9,3.0,,,,4.0,,,,,,
495,3,3.0,,,,3.0,,,,,,
496,1,2.0,,,,5.0,,,,,,
499,1,2.0,,,,5.0,,,,,,
500,3,4.0,,,,4.0,,,,,,
502,2,3.0,,,,4.0,,,,,,
503,1,4.0,,,,4.0,,,,,,
504,1,2.0,,,,5.0,,,,,,
505,2,4.0,,,,4.0,,,,,,
506,2,4.0,,,,4.0,,,,,,
507,2,3.0,,,,4.0,,,,,,
509,2,5.0,,,,4.0,,,,,,
510,1,3.0,,,,5.0,,,,,,
511,1,3.0,,,,4.0,,,,,,
512,1,3.0,,,,4.0,,,,,,
513,2,5.0,,,,2.0,,,,,,
516,3,4.0,,,,3.0,,,,,,
518,2,4.0,,,,4.0,,,,,,
519,3,3.0,,,,4.0,,,,,,
521,1,2.0,,,,5.0,,,,,,
522,1,3.0,,,,5.0,,,,,,
523,1,3.0,,,,5.0,,,,,,
524,1,3.0,,,,5.0,,,,,,
525,1,2.0,,,,5.0,,,,,,
526,3,4.0,,,,5.0,,,,,,
527,3,4.0,,,,4.0,,,,,,
528,1,3.0,,,,5.0,,,,,,
529,1,3.0,,,,5.0,,,,,,
530,2,3.0,,,,3.0,,,,,,
531,1,3.0,,,,5.0,,,,,,
533,1,2.0,,,,5.0,,,,,,
534,2,4.0,,,,4.0,,,,,,
535,2,3.0,,,,3.0,,,,,,
536,3,3.0,,,,3.0,,,,,,
537,2,3.0,,,,3.0,,,,,,
538,1,4.0,,,,4.0,,,,,,
539,3,3.0,,,,3.0,,,,,,
540,8,4.0,,,,4.0,,,,,,
541,1,2.0,,,,5.0,,,,,,
542,1,2.0,,,,5.0,,,,,,
543,2,5.0,,,,4.0,,,,,,
546,1,3.0,,,,4.0,,,,,,
547,1,4.0,,,,5.0,,,,,,
548,1,3.0,,,,5.0,,,,,,
551,1,3.0,,,,5.0,,,,,,
552,2,3.0,,,,5.0,,,,,,
554,1,2.0,,,,5.0,,,,,,
555,3,3.0,,,,4.0,,,,,,
556,1,4.0,,,,5.0,,,,,,
557,1,4.0,,,,4.0,,,,,,
559,1,3.0,,,,5.0,,,,,,
560,1,3.0,,,,5.0,,,,,,
561,3,3.0,,,,5.0,,,,,,
562,1,2.0,,,,5.0,,,,,,
563,2,4.0,,,,3.0,,,,,,
564,1,2.0,,,,5.0,,,,,,
565,1,3.0,,,,5.0,,,,,,
567,1,3.0,,,,5.0,,,,,,
568,1,3.0,,,,4.0,,,,,,
569,1,4.0,,,,5.0,,,,,,
570,2,5.0,,,,4.0,,,,,,
571,9,9.0,,,,9.0,,,,,,
572,2,2.0,,,,2.0,,,,,,
574,1,2.0,,,,4.0,,,,,,
575,9,9.0,,,,9.0,,,,,,
577,2,5.0,,,,2.0,,,,,,
578,1,1.0,,,,5.0,,,,,,
579,1,4.0,,,,4.0,,,,,,
580,2,9.0,,,,9.0,,,,,,
581,2,3.0,,,,3.0,,,,,,
582,1,9.0,,,,9.0,,,,,,
583,3,3.0,,,,3.0,,,,,,
585,2,4.0,,,,2.0,,,,,,
586,1,2.0,,,,4.0,,,,,,
587,1,4.0,,,,4.0,,,,,,
589,3,5.0,,,,4.0,,,,,,
590,2,4.0,,,,1.0,,,,,,
591,8,4.0,,,,3.0,,,,,,
592,2,4.0,,,,2.0,,,,,,
593,8,3.0,,,,3.0,,,,,,
594,2,4.0,,,,3.0,,,,,,
595,1,3.0,,,,5.0,,,,,,
596,1,4.0,,,,5.0,,,,,,
597,2,3.0,,,,3.0,,,,,,
598,1,3.0,,,,5.0,,,,,,
599,1,3.0,,,,5.0,,,,,,
600,1,2.0,,,,5.0,,,,,,
603,1,3.0,,,,4.0,,,,,,
604,3,4.0,,,,9.0,,,,,,
605,1,2.0,,,,4.0,,,,,,
606,2,2.0,,,,3.0,,,,,,
607,2,5.0,,,,3.0,,,,,,
608,1,2.0,,,,5.0,,,,,,
609,1,3.0,,,,4.0,,,,,,
610,2,5.0,,,,2.0,,,,,,
611,2,2.0,,,,2.0,,,,,,
612,2,4.0,,,,2.0,,,,,,
614,2,5.0,,,,3.0,,,,,,
615,2,4.0,,,,4.0,,,,,,
616,9,4.0,,,,3.0,,,,,,
617,1,2.0,,,,5.0,,,,,,
618,3,4.0,,,,3.0,,,,,,
619,1,4.0,,,,4.0,,,,,,
620,1,1.0,,,,5.0,,,,,,
621,2,4.0,,,,2.0,,,,,,
622,2,5.0,,,,4.0,,,,,,
623,2,5.0,,,,3.0,,,,,,
625,1,3.0,,,,4.0,,,,,,
626,1,2.0,,,,4.0,,,,,,
627,1,4.0,,,,5.0,,,,,,
628,1,4.0,,,,5.0,,,,,,
629,1,4.0,,,,3.0,,,,,,
630,2,4.0,,,,4.0,,,,,,
631,1,1.0,,,,5.0,,,,,,
632,1,2.0,,,,4.0,,,,,,
633,2,4.0,,,,2.0,,,,,,
634,1,1.0,,,,4.0,,,,,,
635,3,4.0,,,,3.0,,,,,,
636,1,3.0,,,,4.0,,,,,,
637,2,5.0,,,,2.0,,,,,,
638,2,4.0,,,,4.0,,,,,,
639,2,2.0,,,,3.0,,,,,,
640,2,9.0,,,,9.0,,,,,,
641,2,2.0,,,,3.0,,,,,,
642,2,5.0,,,,2.0,,,,,,
643,1,4.0,,,,4.0,,,,,,
644,1,4.0,,,,4.0,,,,,,
645,1,9.0,,,,9.0,,,,,,
646,1,4.0,,,,4.0,,,,,,
647,1,4.0,,,,4.0,,,,,,
648,1,4.0,,,,4.0,,,,,,
649,1,5.0,,,,4.0,,,,,,
650,2,3.0,,,,3.0,,,,,,
651,1,4.0,,,,4.0,,,,,,
652,2,4.0,,,,2.0,,,,,,
654,2,5.0,,,,2.0,,,,,,
655,1,2.0,,,,4.0,,,,,,
656,1,3.0,,,,4.0,,,,,,
657,1,3.0,,,,4.0,,,,,,
658,1,2.0,,,,4.0,,,,,,
659,1,4.0,,,,4.0,,,,,,
660,1,2.0,,,,4.0,,,,,,
661,2,2.0,,,,3.0,,,,,,
662,1,4.0,,,,4.0,,,,,,
663,1,3.0,,,,4.0,,,,,,
664,1,2.0,,,,4.0,,,,,,
665,1,4.0,,,,3.0,,,,,,
666,3,2.0,,,,4.0,,,,,,
667,3,4.0,,,,3.0,,,,,,
668,3,5.0,,,,3.0,,,,,,
669,8,4.0,,,,4.0,,,,,,
670,1,4.0,,,,4.0,,,,,,
671,1,3.0,,,,5.0,,,,,,
672,3,5.0,,,,3.0,,,,,,
673,1,5.0,,,,5.0,,,,,,
675,2,4.0,,,,3.0,,,,,,
676,1,3.0,,,,5.0,,,,,,
677,1,2.0,,,,4.0,,,,,,
678,1,2.0,,,,4.0,,,,,,
679,1,4.0,,,,4.0,,,,,,
680,1,4.0,,,,4.0,,,,,,
681,1,3.0,,,,3.0,,,,,,
682,1,3.0,,,,4.0,,,,,,
684,1,4.0,,,,4.0,,,,,,
685,2,3.0,,,,2.0,,,,,,
686,3,4.0,,,,2.0,,,,,,
687,1,3.0,,,,4.0,,,,,,
688,3,3.0,,,,3.0,,,,,,
689,2,4.0,,,,2.0,,,,,,
690,3,3.0,,,,4.0,,,,,,
691,2,4.0,,,,3.0,,,,,,
